ID,NOM_TL,ADRESSE,CP,COMINIT,INSEECOM,NOMCOM,WEB,TWITTER,FACEBOOK,TYPO,LAT,LONG,GEOCOD,PRECISION,CONTACT,MAIL,METRO,NOMMETRO,INSEEREG,NOMREG,INSEEMETRO,INSEEDEP,NOMCOMMETRO,POPCOM,COMCLASS,INSEE_ZE,NOM_ZE,CLASS_ZE,POP_ZE
1232,Fab Lab Ajaccio,1 Avenue Napoleon 3 -,20193,Ajaccio,0,Ajaccio,http://fablabajaccio.com/,https://twitter.com/FabLabAjaccio,https://www.facebook.com/pages/Fab-Lab-Ajaccio/682469011898431,Tiers lieux à dominante fablab,41.92649,8.734886,1 Avenue Napoléon III 20000 Ajaccio,0.64,,,0,,94,Corse,2A004,2A,Ajaccio,68587,50000-100000,9401,AJACCIO,100 000-200 000,112927
1233,FabLab du Morvan,114 route d'Avallon,58140,Lormes,58145,Lormes,www.nivernaismorvan.net,,https://www.facebook.com/pages/FabLab-du-Morvan/450939808408799,Tiers lieux à dominante fablab,47.298755,3.824312,114 Route d'Avallon 58140 Lormes,0.92,,,0,,27,Bourgogne et Franche-Comté,58145,58,Lormes,1296,0-5000,2605,LE MORVAN,0-50 000,35032
1234,ESAA Artlab,16 Cours Général de Gaulle,33170,Gradignan,33192,Gradignan,www.esaa-aquitaine.com/infos-pratiques/esaaa-lab.html,,https://www.facebook.com/labesaaa,Tiers lieux à dominante fablab,44.787142,-0.604798,16 Cours du Général de Gaulle 33170 Gradignan,0.87,,,1,Bordeaux Métropole,75,Nouvelle Aquitaine,33192,33,Gradignan,24841,20000-50000,7204,BORDEAUX,500 000-6 000 000,1271647
1235,Fabric'INSA,INSA Toulouse 135 avenue de Rangueil,31400,Toulouse,31555,Toulouse,http://www.fabric-insa.fr/,,https://www.facebook.com/fabric.insa,Tiers lieux à dominante fablab,43.569283,1.465582,135 Avenue de Rangueil 31400 Toulouse,0.69,,,1,Toulouse Métropole,76,Occitanie,31555,31,Toulouse,466297,100000 et plus,61,TOULOUSE,500 000-6 000 000,1450345
1236,Labio,Caserne Ordener 62 rue du faubourg saint-martin,60300,Senlis,60612,Senlis,http://asso-labio.wixsite.com/labio,,https://www.facebook.com/asso.labio,Tiers lieux à dominante fablab,49.199109,2.581958,62 Rue du Faubourg Saint-Martin 60300 Senlis,0.69,,,0,,32,Hauts-de-France,60612,60,Senlis,15292,5000-20000,56,ROISSY - SUD PICARDIE,500 000-6 000 000,1710836
1237,Fablab Albi,8 Avenue Pierre-Gilles de Gennes,81000,Albi,81004,Albi,http://numerique-albi.fr,https://twitter.com/FabLabAlbi,https://www.facebook.com/fablab.albi,Tiers lieux à dominante fablab,43.92059,2.18198,8 Avenue Pierre Gilles de Gennes 81000 Albi,0.93,,,0,,76,Occitanie,81004,81,Albi,49531,20000-50000,7311,ALBI,100 000-200 000,171584
1238,LCube,11 Allée des Gravelles,87280,Limoges,87085,Limoges,http://www.fab-l3.org,https://twitter.com/FablabLCube,https://www.facebook.com/fablcube,Tiers lieux à dominante fablab,45.885735,1.274141,11 Allée des Gravelles 87280 Limoges,0.94,,,0,,75,Nouvelle Aquitaine,87085,87,Limoges,134577,100000 et plus,7404,LIMOGES,200 000-500 000,376199
1239,Sunlab,185 Avenue du Général Leclerc,78220,Viroflay,78686,Viroflay,http://mysunlab.org/,https://www.twitter.com/Le_Hatlab,https://www.facebook.com/mysunlabface,Tiers lieux à dominante fablab,48.800082,2.161003,185 Avenue du Général Leclerc 78220 Viroflay,0.93,,,0,,11,Île-de-France,78646,78,Versailles,85461,50000-100000,1116,SACLAY,500 000-6 000 000,1169116
1240,Fablab ENSAPVS,3 quai Panhard et Levassor,75013,Paris,75113,Paris,http://fablabensapvs.wixsite.com/fablabensapvs,,https://www.facebook.com/pages/FabLab-Ensapvs/737245226350901?fref=ts,Tiers lieux à dominante fablab,48.82745,2.385172,3 Quai Panhard et Levassor 75013 Paris,0.94,,,1,Métropole du Grand Paris,11,Île-de-France,75056,75,Paris,2220445,100000 et plus,1101,PARIS,500 000-6 000 000,5981175
1241,Numérifab,5 Place de la Mairie,55100,Bras-sur-Meuse,55073,Bras-sur-Meuse,http://www.numerifab.fr/,,http://www.facebook.com/numerifab?fref=ts,Tiers lieux à dominante fablab,49.210119,5.377144,5 Place de la Mairie 55100 Bras-sur-Meuse,0.91,,,0,,44,Grand Est,55073,55,Bras-sur-Meuse,720,0-5000,4106,VERDUN,50 000-100 000,63002
1242,QUAI-LAB,bat 1 ZA les erondieres,86240,Ligugé,86133,Ligugé,http://www.quai-lab.com/,https://twitter.com/QuaiLab,,Tiers lieux à dominante fablab,46.519988,0.31487,Les Erondières 86240 Ligugé,0.68,,,0,,75,Nouvelle Aquitaine,86133,86,Ligugé,3265,0-5000,5413,POITIERS,200 000-500 000,334054
1243,Fablab du Chalonnais,141 Avenue Boucicaut,71100,Chalon sur Saone,71076,Chalon-sur-Saône,http://fablab-chalon.fr,,https://facebook.com/fablabduchalonnais,Tiers lieux à dominante fablab,46.788894,4.835546,141 Avenue Boucicaut 71100 Chalon-sur-Saône,0.94,,,0,,27,Bourgogne et Franche-Comté,71076,71,Chalon-sur-Saône,44985,20000-50000,2608,CHALON-SUR-SAÔNE,100 000-200 000,196661
1244,Vendôme Atelier Numérique,OUTREMER 2 Avenue des Cités Unies d'Europe,41100,Vendôme,41269,Vendôme,http://www.vendome-atelier-numerique.net/,https://twitter.com/VendomeAtNum,https://www.facebook.com/VendomeAtelierNumerique/,Tiers lieux à dominante fablab,47.820732,1.021585,2 Avenue des Cités Unies de l'Europe 41100 Vendôme,0.71,,,0,,24,Centre-Val de Loire,41269,41,Vendôme,16879,5000-20000,2415,VENDÔME,50 000-100 000,66421
